grip requested,grip performed,grip timing
1,1,-47.0
1,1,-35.0
1,1,-57.0
2,2,-153.0
1,1,-113.0
2,2,-107.0
1,1,-135.0
2,2,-61.0
2,2,-157.0
1,1,-117.0
1,1,-43.0
1,1,-37.0
2,0,nan
2,2,-93.0
1,1,-121.0
1,1,-47.0
2,2,-109.0
2,2,-103.0
3,0,nan
2,2,-57.0
1,1,-119.0
3,0,nan
2,2,-67.0
1,1,-129.0
1,0,nan
2,2,-139.0
2,2,-99.0
2,2,-93.0
1,1,-155.0
1,0,nan
1,1,-103.0
1,1,-125.0
2,2,-119.0
1,0,nan
2,2,-5.0
1,1,-33.0
2,2,-95.0
2,2,-123.0
1,1,-83.0
1,1,-43.0
2,2,-71.0
1,1,-31.0
1,1,-93.0
