grip requested,grip performed,grip timing
1,1,20.0
1,1,-172.0
1,1,-92.0
2,0,nan
1,1,-148.0
2,0,nan
1,1,-204.0
2,0,nan
2,1,-56.0
1,1,-152.0
1,1,-112.0
1,1,-106.0
2,0,nan
2,0,nan
1,1,-156.0
1,1,-116.0
2,0,nan
2,1,134.0
3,0,nan
2,0,nan
1,1,-120.0
3,0,nan
2,0,nan
1,1,-163.0
1,1,-151.0
2,1,201.0
2,0,nan
2,1,9.0
1,1,-155.0
1,1,-183.0
1,1,-137.0
1,1,-159.0
2,1,-17.0
1,1,-181.0
2,1,-209.0
1,1,-169.0
2,1,41.0
2,0,nan
1,1,121.0
1,1,-213.0
2,1,-37.0
1,1,-167.0
1,1,77.0
