grip requested,grip performed,grip timing
1,1,-44.0
1,1,-168.0
1,1,-122.0
2,2,54.0
1,0,nan
2,2,-36.0
1,1,174.0
2,2,10.0
2,2,51.0
1,1,-147.0
1,1,-277.0
1,1,-135.0
2,2,-299.0
2,2,13.0
1,1,-15.0
1,1,161.0
2,2,-105.0
2,2,-133.0
3,2,-25.0
2,0,nan
1,1,89.0
3,0,nan
2,2,73.0
1,1,-295.0
1,1,-11.0
2,2,-135.0
2,2,-129.0
2,2,47.0
1,1,-15.0
1,1,-111.0
1,1,-167.0
1,1,15.0
2,2,21.0
1,1,-177.0
2,2,-69.0
1,1,-97.0
2,2,-91.0
2,2,86.0
1,1,194.0
1,1,64.0
2,2,-304.0
1,1,42.0
1,1,-360.0
