grip requested,grip performed,grip timing
1,1,-117.0
1,1,-3.0
1,1,-127.0
2,2,-53.0
1,1,-47.0
2,2,-143.0
1,1,-239.0
2,2,-199.0
2,2,-125.0
1,1,-187.0
1,1,-113.0
1,1,-39.0
2,2,-33.0
2,2,-61.0
1,1,-21.0
1,1,-150.0
2,2,26.0
2,2,-104.0
3,3,-64.0
2,2,78.0
1,1,-86.0
3,3,28.0
2,2,-67.0
1,1,-94.0
1,1,56.0
2,2,35.0
2,2,-95.0
2,2,-89.0
1,1,155.0
1,1,-77.0
1,1,3.0
1,1,-19.0
2,2,89.0
1,1,-7.0
2,2,101.0
1,1,-29.0
2,2,-23.0
2,2,-118.0
1,1,-10.0
1,1,-38.0
2,2,-32.0
1,1,-298.0
1,1,-88.0
