grip requested,grip performed,grip timing
1,1,-102.0
1,1,-226.0
1,1,24.0
2,2,64.0
1,1,104.0
2,2,-196.0
1,1,116.0
2,2,-115.0
2,2,27.0
1,1,-205.0
1,1,-63.0
1,1,-23.0
2,2,-255.0
2,2,159.0
1,1,29.0
1,1,103.0
2,0,nan
2,2,81.0
3,0,nan
2,2,-145.0
1,1,-37.0
3,3,-262.0
2,2,-18.0
1,1,-182.0
1,1,-68.0
2,0,nan
2,2,-50.0
2,2,-44.0
1,1,-4.0
1,1,-134.0
1,1,-87.0
1,1,197.0
2,0,nan
1,1,-131.0
2,0,nan
1,1,-17.0
2,0,nan
2,2,165.0
1,0,nan
1,1,41.0
2,0,nan
1,1,19.0
1,1,-111.0
