grip requested,grip performed,grip timing
1,1,-13.0
1,1,-35.0
1,1,-91.0
2,2,85.0
1,1,-113.0
2,0,nan
1,1,-101.0
2,2,-163.0
2,2,-157.0
1,1,-151.0
1,1,-247.0
1,1,-37.0
2,2,-99.0
2,2,-59.0
1,1,-121.0
1,1,-183.0
2,2,-109.0
2,0,nan
3,0,nan
2,2,45.0
1,1,-85.0
3,0,nan
2,0,nan
1,1,-265.0
1,1,-49.0
2,2,31.0
2,2,3.0
2,2,-25.0
1,1,-53.0
1,1,-149.0
1,1,67.0
1,1,11.0
2,0,nan
1,1,-113.0
2,2,97.0
1,1,-271.0
2,2,41.0
2,0,nan
1,1,-15.0
1,1,-77.0
2,2,-3.0
1,1,-99.0
1,1,-297.0
