grip requested,grip performed,grip timing
1,1,-29.0
1,1,-82.0
1,1,-39.0
2,2,-88.0
1,1,-174.0
2,2,-177.0
1,1,-223.0
2,2,-106.0
2,2,-325.0
1,1,-40.0
1,1,-183.0
1,1,-84.0
2,2,-74.0
2,2,-128.0
1,1,-212.0
1,1,-133.0
2,2,-136.0
2,2,-124.0
3,3,-36.0
2,2,-211.0
1,1,31.0
3,3,-87.0
2,2,47.0
1,1,-73.0
1,1,-42.0
2,2,-2.0
2,2,-152.0
2,2,-10.0
1,1,-75.0
1,1,-216.0
1,1,103.0
1,1,39.0
2,2,30.0
1,1,-65.0
2,2,-152.0
1,1,-31.0
2,2,-72.0
2,2,-134.0
1,1,-68.0
1,1,-125.0
2,2,-159.0
1,1,-187.0
1,1,-127.0
