grip requested,grip performed,grip timing
1,1,23.0
1,1,-135.0
1,1,-20.0
2,2,20.0
1,1,-178.0
2,2,32.0
1,1,-64.0
2,2,-92.0
2,2,-120.0
1,1,-182.0
1,1,-74.0
1,1,-34.0
2,2,-28.0
2,2,12.0
1,1,-16.0
1,1,-112.0
2,2,64.0
2,2,36.0
3,3,-94.0
2,2,-54.0
1,1,88.0
3,3,-2.0
2,2,-98.0
1,1,11.0
1,1,57.0
2,2,-33.0
2,2,75.0
2,2,-55.0
1,1,-15.0
1,0,nan
1,1,-99.0
1,1,-53.0
2,2,55.0
1,1,-75.0
2,2,-69.0
1,1,-131.0
2,2,79.0
2,2,-187.0
1,1,-79.0
1,1,-107.0
2,2,1.0
1,1,-129.0
1,1,-191.0
