grip requested,grip performed,grip timing
1,1,42.0
1,1,20.0
1,1,33.0
2,2,6.0
1,1,-56.0
2,2,18.0
1,1,-44.0
2,2,-38.0
2,0,nan
1,1,-26.0
1,1,48.0
1,1,-14.0
2,2,26.0
2,2,66.0
1,1,-132.0
1,1,10.0
2,2,-120.0
2,2,56.0
3,3,-40.0
2,2,-68.0
1,1,6.0
3,3,-116.0
2,2,-8.0
1,1,-70.0
1,1,-58.0
2,2,90.0
2,2,-108.0
2,2,0.0
1,1,142.0
1,1,-21.0
1,1,25.0
1,1,-31.0
2,2,-25.0
1,1,-87.0
2,2,-81.0
1,1,-75.0
2,2,-35.0
2,2,-97.0
1,1,11.0
1,1,-51.0
2,2,-45.0
1,1,-175.0
1,1,-169.0
