grip requested,grip performed,grip timing
1,1,49.0
1,1,-143.0
1,1,-165.0
2,2,11.0
1,1,-85.0
2,2,-181.0
1,1,-39.0
2,2,-203.0
2,2,-95.0
1,1,81.0
1,1,19.0
1,1,59.0
2,0,nan
2,2,139.0
1,1,-25.0
1,1,-53.0
2,2,-81.0
2,2,-7.0
3,0,nan
2,2,-29.0
1,1,-125.0
3,2,125.0
2,2,131.0
1,1,-135.0
1,1,13.0
2,2,-179.0
2,2,-3.0
2,2,3.0
1,1,-331.0
1,1,-53.0
1,1,-177.0
1,1,-233.0
2,2,-227.0
1,1,-51.0
2,2,-79.0
1,1,-73.0
2,0,nan
2,2,41.0
1,1,-55.0
1,1,-185.0
2,2,-9.0
1,1,-71.0
1,1,-65.0
