grip requested,grip performed,grip timing
1,1,7.0
1,1,45.0
1,1,83.0
2,2,-126.0
1,1,41.0
2,2,-143.0
1,1,-70.0
2,2,-138.0
2,2,-102.0
1,1,-105.0
1,1,-104.0
1,1,-108.0
2,2,-109.0
2,2,-147.0
1,1,-109.0
1,1,-74.0
2,2,-50.0
2,2,-110.0
3,3,-182.0
2,2,-144.0
1,1,-77.0
3,3,-255.0
2,2,-330.0
1,1,93.0
1,1,-118.0
2,2,157.0
2,2,-93.0
2,2,-87.0
1,1,-91.0
1,1,-1.0
1,1,-107.0
1,1,-148.0
2,2,-157.0
1,1,-97.0
2,2,-133.0
1,1,-142.0
2,2,67.0
2,2,97.0
1,1,-138.0
1,1,-113.0
2,2,-122.0
1,1,-55.0
1,1,-57.0
