grip requested,grip performed,grip timing
1,1,-22.0
1,1,-350.0
1,1,-236.0
2,2,-94.0
1,1,-190.0
2,2,190.0
1,1,-42.0
2,2,-36.0
2,2,-200.0
1,1,44.0
1,0,nan
1,1,-352.0
2,2,-6.0
2,2,-102.0
1,1,-62.0
1,1,114.0
2,2,-50.0
2,2,-180.0
3,3,-310.0
2,2,104.0
1,1,42.0
3,3,20.0
2,0,nan
1,1,67.0
1,1,-159.0
2,2,-283.0
2,2,63.0
2,2,-33.0
1,0,nan
1,1,-157.0
1,1,128.0
1,1,-200.0
2,2,-228.0
1,1,118.0
2,2,-80.0
1,1,97.0
2,2,1.0
2,2,-27.0
1,0,nan
1,1,-185.0
2,2,-43.0
1,0,nan
1,1,-65.0
