grip requested,grip performed,grip timing
1,1,-133.0
1,1,-87.0
1,1,-41.0
2,2,-171.0
1,1,-63.0
2,2,-125.0
1,1,-85.0
2,2,-147.0
2,2,-73.0
1,1,-169.0
1,1,-94.0
1,1,-122.0
2,2,-184.0
2,2,-41.0
1,1,-35.0
1,1,-97.0
2,2,-23.0
2,2,51.0
3,3,-79.0
2,2,-141.0
1,1,-67.0
3,3,-123.0
2,2,-49.0
1,1,-9.0
1,1,37.0
2,2,84.0
2,2,-46.0
2,2,-142.0
1,1,-102.0
1,1,-130.0
1,1,-84.0
1,1,-140.0
2,2,-134.0
1,1,-26.0
2,2,-190.0
1,1,20.0
2,2,-42.0
2,2,-206.0
1,1,4.0
1,1,-58.0
2,2,-188.0
1,1,-80.0
1,1,-74.0
