grip requested,grip performed,grip timing
1,1,-313.0
1,0,nan
1,1,-187.0
2,1,-181.0
1,1,63.0
2,2,-100.0
1,1,-162.0
2,2,48.0
2,2,54.0
1,1,-212.0
1,0,nan
1,1,-132.0
2,2,10.0
2,2,-120.0
1,1,-114.0
1,1,-40.0
2,2,-102.0
2,2,-164.0
3,3,-124.0
2,2,-50.0
1,1,24.0
3,0,nan
2,2,-162.0
1,1,-189.0
1,1,-75.0
2,2,-28.0
2,2,-90.0
2,1,-50.0
1,1,-9.0
1,1,-139.0
1,1,-25.0
1,1,-47.0
2,2,-75.0
1,1,101.0
2,2,39.0
1,1,-91.0
2,2,-85.0
2,1,-79.0
1,1,-175.0
1,1,-135.0
2,2,109.0
1,1,47.0
1,1,-83.0
