grip requested,grip performed,grip timing
1,1,43.0
1,1,123.0
1,1,33.0
2,1,5.0
1,1,-91.0
2,2,-51.0
1,1,-11.0
2,2,-107.0
2,2,-135.0
1,1,-129.0
1,1,-157.0
1,1,-15.0
2,2,-43.0
2,2,-207.0
1,1,-31.0
1,1,111.0
2,2,83.0
2,2,-13.0
3,3,-109.0
2,1,-1.0
1,1,-29.0
3,0,nan
2,2,-45.0
1,1,-73.0
1,1,7.0
2,2,-15.0
2,2,-43.0
2,1,-105.0
1,1,-31.0
1,1,-195.0
1,1,55.0
1,1,-1.0
2,2,-63.0
1,1,-57.0
2,1,51.0
1,1,-147.0
2,2,-39.0
2,2,-67.0
1,1,-95.0
1,1,-89.0
2,2,-49.0
1,1,-145.0
1,1,-37.0
