grip requested,grip performed,grip timing
1,1,-14.0
1,1,-2.0
1,1,-125.0
2,2,51.0
1,1,23.0
2,2,-39.0
1,1,137.0
2,2,-129.0
2,2,-123.0
1,1,-219.0
1,1,161.0
1,1,-105.0
2,2,-99.0
2,2,-93.0
1,1,-121.0
1,1,-13.0
2,2,-75.0
2,2,34.0
3,2,-198.0
2,2,-192.0
1,0,nan
3,0,nan
2,1,-31.0
1,1,-93.0
1,1,192.0
2,2,0.0
2,2,-28.0
2,0,nan
1,1,52.0
1,1,-78.0
1,1,-100.0
1,1,-120.0
2,0,nan
1,1,-244.0
2,1,34.0
1,1,-232.0
2,2,-192.0
2,2,-84.0
1,1,-179.0
1,1,-71.0
2,2,3.0
1,1,9.0
1,1,-121.0
